如此生仔,an2-hiⁿ-siⁿ-a2 
阿細,an2-se3
案,an3
按,an3
向,aⁿ3
向向,aⁿ3-aⁿ3
按bai7,an3-bai7
按怎樣,an3-choaⁿ2-iuⁿ7
案情,an3-cheng5
案前,an3-cheng5
按菜,an3-chhai3
按察,an3-chhat
按察銜,an3-chhat-ham5
按察司,an3-chhat-si
按手,an3-chhiu2
按手禮,an3-chhiu2-le2
按此,an3-chia
按錢,an3-chiⁿ5
按額,an3-giah8
按下,an3-he7
按彼,an3-he
按hia,an3-hia
向耳,aⁿ3-hiⁿ7
按法,an3-hoat
向腰,aⁿ3-io
案由,an3-iu5
晏然,an3-jian5
按日,an3-jit8
晏駕,an3-ka3
按價,an3-ke3
按孔,an3-khang
按看,an3-khoaⁿ3
按劍,an3-kiam3
案件,an3-kiaⁿ5
按軍,an3-kun
向落,aⁿ3-loh8
按路,an3-lo͘7
按律,an3-lut8
按脈,an3-meh8
按摩,an3-mo͘5
案內狀,an3-lai7-chng7
按兵不動,an3-peng put-tong7
按盤,an3-poaⁿ5
按司,an3-si
按時,an3-si5
按時按候,an3-si5 an3-hau7
按時按日,an3-si5 an3-jit8
按時按刻,an3-si5 an3-khek
ang3城,ang3-siaⁿ5
ang3城地,ang-siaⁿ5-te7
向身,aⁿ3-sin
按算,an3-sng3
案底,an3-te2
按定,an3-teng7
向頭,aⁿ3-thau5
案頭燈,an3-thau5-teng
按定,an3-tiaⁿ7
案桌,an3-toh
案牘,an3-tok8
緊,an5
攔,aⁿ5
呵,aⁿ5
哎呀哎呀,aⁿ5-aⁿ2 aⁿ5-aⁿ2
緊緊,an5-an5
攔攔,aⁿ5-aⁿ5
aⁿ5-aⁿ5 chah8-chah8,aⁿ5-aⁿ5 chah8-chah8
攔買,aⁿ5-boe2
攔賣,aⁿ5-boe7
攔閘,aⁿ5-chah8
攔親,aⁿ5-chhin
攔食,aⁿ5-chiah8
緊租,an5-cho͘
緊孔,an5-khang
緊氣,an5-khi3
緊股股,an5-ko͘2-ko͘2
緊鬼鬼,an5-kui2-kui2
aⁿ5-na5,aⁿ5-na5
緊澀,an5-siap
緊燥,an5-so3
緊單,an5-tan
緊倒,an5-tau2
緊篤篤,an5-tauh-tauh
緊篤篤,an5-ti-tu
緊篤篤,an5-tih-tuh
緊篤篤,an5-tiu-tiu
緊篤篤,an5-tiuh-tiuh
緊篤篤,an5-tu-tu
緊篤篤,an5-tuh-tuh
緊抽抽,an5-tiuh-tiuh
緊當當,an5-tong3-tong3
緊當當,an5-tong-tong
緊當當,an5-tok-tok
緊抵抵,an5-tuh-tuh
限,an7
茂,aⁿ7
餡,aⁿ7
aⁿ7-aⁿ7,aⁿ7-aⁿ7
限債,an7-che3
限錢,an7-chiⁿ5
限日,an7-jit8
限量,an7-liong7
限滿,an7-moa2
餡餅,aⁿ7-piaⁿ2
限時,an7-si5
限時限刻,an7-si5 an7-khek
按帳,an7-siau3
阿奶,a2-nai2
遮遮,aⁿ-aⁿ
哎哎,aⁿ-aⁿ
安安閑閑,an-an han5-han5
安安然然,an-an jian5-jian5
安安樂樂,an-an lok8-lok8
安民,an-bin5
安眠,an-bin5
安撫,an-bu2
安灶,an-chau3
按這,an3-che
安寨,an-che7
安靜,an-cheng7
安插,an-chhah
安塹,an-chhiam2
安床,an-chhng5
安箭,an-chiⁿ3
安全,an-choan5
安葬,an-chong3
汪,ang
翁,ang
尪,ang
翁,ang
ang2-lang2,ang2-lang2
甕,ang3
ang3,ang3
Ang3-ang3,ang3-ang3
Ang3壯,ang3-chang3
甕串,ang3-chhng
甕嘴,ang3-chhui3
甕耳,ang3-hiⁿ7
甕蓋,ang3-koa3
甕內走鱉,ang3-lai7 chau2-pih
甕phe3,ang3-phe3
Ang3鼻,ang3-phiⁿ7
Ang3-tang3,ang3-tang3
甕tang7,ang3-tang7
甕底,ang3-te2
甕底水蛙,ang3-te2 sui2-ke
甕肚,ang3-to͘7
洪,ang5
紅,ang5
紅紅,ang5-ang5
紅紅紅,ang5-ang5-ang5
紅紅幼幼,ang5-ang iu3-iu3
紅肉,ang5-bah
紅肉松,ang5-bah-chheng5
紅肉內李,ang5-bah-lai7-li2
紅肉李,ang5-bah-li2
紅肉朵,ang5-bah-to2
紅目,ang5-bak8
紅目番,ang5-bak8-hoan
紅目猴,ang5-bak8-kau5
紅目墘,ang5-bak8-kiⁿ5
紅目獃,ang5-bak8-tai
紅尾仔草,ang5-be2-a2-chhau2
紅瑪瑙,ang5-be2-lo2
紅尾蝶花,ang5-be2-iah8-hoe
紅米,ang5-bi2
紅米茶,ang5-bi2-te5
紅面,ang5-bin7
紅面將軍,ang5-bin7-chiong-kun
